Taxa	Sample01	Sample02	Sample03	Sample04
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Unclassified Staphylococcaceae;	0	1	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Laceyella;Unclassified Laceyella	0	1	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Mechercharimyces;Unclassified Mechercharimyces	0	1	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Unclassified Bacillales;;	0	0	3	3
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Unclassified Lactobacillus	1	1	0	0
Bacteria;Firmicutes;Bacilli;Unclassified Bacilli;;;	1	1	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caloramator;Unclassified Caloramator	0	1	4	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Unclassified Clostridium	1	14	12	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Unclassified Clostridiaceae;	1	2	3	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium;Unclassified Acetobacterium	0	2	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI Incertae Sedis;Anaerococcus;Unclassified Anaerococcus	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XII Incertae Sedis;Fusibacter;Unclassified Fusibacter	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae Sedis;Unclassified Incertae Sedis	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Unclassified Lachnospiraceae;	0	2	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus;Unclassified Desulfosporosinus	0	1	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfotomaculum;Unclassified Desulfotomaculum	1	2	3	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Unclassified Peptococcaceae;	1	0	1	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio;Unclassified Acetivibrio	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae Sedis;Unclassified Incertae Sedis	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Saccharofermentans;Clostridium sp. strain P6	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Unclassified Ruminococcaceae;	0	3	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Syntrophothermus;Unclassified Syntrophothermus	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Unclassified Syntrophomonadaceae;	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;thermophilic bacterium JA2;Unclassified thermophilic bacterium JA2	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Unclassified Clostridiales;;	0	3	4	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Pelosinus;Sporotalea propionica	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Pelosinus;Veillonellaceae bacterium FCF9B	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Succinispira;Unclassified Succinispira	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Unclassified Veillonellaceae;	0	2	3	1
Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halanaerobiaceae;Halothermothrix;Unclassified Halothermothrix	0	0	1	0
Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halanaerobiaceae;Unclassified Halanaerobiaceae;	1	2	0	0
Bacteria;Firmicutes;Clostridia;Halanaerobiales;Unclassified Halanaerobiales;;	0	0	1	0
Bacteria;Firmicutes;Clostridia;Natranaerobiales;Natranaerobiaceae;Natranaerobius;Unclassified Natranaerobius	0	0	1	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Moorella;Unclassified Moorella	0	1	0	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Unclassified Thermoanaerobacteraceae;	0	2	1	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Unclassified Thermoanaerobacterales;;	0	1	0	0
Bacteria;Firmicutes;Clostridia;Thermolithobacterales;Thermolithobacteraceae;Thermolithobacter;Unclassified Thermolithobacter	0	1	0	0
Bacteria;Firmicutes;Clostridia;Unclassified Clostridia;;;	3	6	2	1
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Unclassified Erysipelotrichaceae;	0	1	0	0
Bacteria;Firmicutes;Unclassified Firmicutes;;;;	1	6	4	1
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;Unclassified Gemmatimonas	0	0	0	1
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Unclassified Gemmatimonadaceae;	1	0	0	0
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae;Victivallis;Unclassified Victivallis	0	0	1	0
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Candidatus Magnetobacterium;Candidatus Magnetobacterium bavaricum	0	0	1	0
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Candidatus Magnetobacterium;Unclassified Candidatus Magnetobacterium	0	0	1	0
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;Unclassified Nitrospira	0	2	1	0
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Thermodesulfovibrio;Unclassified Thermodesulfovibrio	0	1	3	0
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Unclassified Nitrospiraceae;	0	3	3	0
Bacteria;Planctomycetes;Phycisphaerae;WD2101 soil group;Planctomycetales bacterium Ellin7244;Unclassified Planctomycetales bacterium Ellin7244;	1	0	0	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Gemmata;Unclassified Gemmata	5	0	1	2
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Isosphaera;Unclassified Isosphaera	1	0	0	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Pir4 lineage;Unclassified Pir4 lineage	0	1	0	1
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Pirellula;Unclassified Pirellula	1	2	0	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Planctomyces;Unclassified Planctomyces	4	0	0	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Singulisphaera;Nostocoida limicola III	1	0	0	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Singulisphaera;Unclassified Singulisphaera	3	0	0	5
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Unclassified Planctomycetaceae;	17	5	7	17
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Zavarzinella;Unclassified Zavarzinella	0	0	0	1
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Unclassified Planctomycetales;;	1	0	0	0
Bacteria;Planctomycetes;Unclassified Planctomycetes;;;;	0	1	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Unclassified Caulobacter	1	0	0	2
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;Unclassified Phenylobacterium	2	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Unclassified Caulobacteraceae;	3	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Beijerinckia;Unclassified Beijerinckia	1	0	1	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Unclassified Beijerinckiaceae;	0	0	0	4
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Unclassified Bradyrhizobium	12	0	0	2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unclassified Bradyrhizobiaceae;	15	1	0	11
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Family Incertae Sedis;Bauldia;Bauldia consociata	0	0	1	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Family Incertae Sedis;Rhizomicrobium;Unclassified Rhizomicrobium	2	1	1	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium;Unclassified Hyphomicrobium	3	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pedomicrobium;Unclassified Pedomicrobium	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodomicrobium;Unclassified Rhodomicrobium	0	1	0	2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes;Rhodoplanes sp. 303	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes;Unclassified Rhodoplanes	2	0	0	2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Unclassified Hyphomicrobiaceae;	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;Unclassified Methylobacterium	1	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Microvirga;Unclassified Microvirga	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Unclassified Methylobacteriaceae;	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Methylocystis;Methylocystis parvus	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Methylocystis;type II methanotrophic bacterium	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Methylosinus;Methylocystis sp. m1511	0	0	1	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Pleomorphomonas;Unclassified Pleomorphomonas	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Unclassified Methylocystaceae;	1	0	1	2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Unclassified Phyllobacteriaceae;	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ensifer;Unclassified Ensifer	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Agrobacterium tumefaciens	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Unclassified Rhizobiales;;	18	1	1	23
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys;Pseudolabrys taiwanensis	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Unclassified Xanthobacteraceae;	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Xanthobacter;Unclassified Xanthobacter	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;alphaI cluster;Methylosinus;Methylosinus sp. 24-21	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;alphaI cluster;alpha proteobacterium FSW06-301;Unclassified alpha proteobacterium FSW06-301	0	0	1	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia;Unclassified Jannaschia	0	2	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma;Acidisoma sp. K16	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Asaia;Unclassified Asaia	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconacetobacter;Unclassified Gluconacetobacter	1	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Granulibacter;Unclassified Granulibacter	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas;Unclassified Roseomonas	0	1	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Unclassified Acetobacteraceae;	9	1	0	8
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum;Unclassified Azospirillum	2	1	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum;Unclassified Rhodospirillum	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Unclassified Rhodospirillales;;	1	1	0	2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;wr0007;Reyranella;Reyranella massiliensis	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;wr0007;Unclassified wr0007;	0	0	0	18
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Unclassified Sphingomonadaceae;	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Unclassified Alphaproteobacteria;;;	4	0	5	9
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Unclassified Burkholderia	4	0	0	1
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paucibacter;Unclassified Paucibacter	0	0	0	1
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Unclassified Comamonadaceae;	4	1	2	1
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Unclassified Oxalobacteraceae;	1	0	1	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unclassified Burkholderiales;;	1	1	1	1
Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Hydrogenophilus;Unclassified Hydrogenophilus	0	1	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Thiobacillus;Unclassified Thiobacillus	0	0	1	0
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Sideroxydans;Sideroxydans lithotrophicus ES-1	0	0	1	0
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Unclassified Gallionellaceae;	0	1	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;Nitrosospira sp. NpAV	1	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;Unclassified Nitrosospira	1	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Denitratisoma;Unclassified Denitratisoma	0	1	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Uliginosibacterium;Uliginosibacterium gangwonense	0	0	1	0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Unclassified Rhodocyclaceae;	1	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Unclassified Betaproteobacteria;;;	0	8	2	1
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Bacteriovorax;Unclassified Bacteriovorax	1	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Algorimarina;Unclassified Algorimarina	0	0	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum;Unclassified Desulfatibacillum	0	0	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacterium;Unclassified Desulfobacterium	0	0	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfosarcina;Unclassified Desulfosarcina	0	1	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Unclassified Desulfobacteraceae;	0	0	4	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;Unclassified Desulfobulbus	0	1	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfocapsa;Unclassified Desulfocapsa	0	1	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Unclassified Desulfobulbaceae;	0	0	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Unclassified Desulfovibrio	0	0	1	1
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Unclassified Desulfovibrionaceae;	0	0	3	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Unclassified Desulfovibrionales;;	0	1	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfurellales;Desulfurellaceae;Hippea;Unclassified Hippea	0	2	2	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfurellales;Unclassified Desulfurellales;;	0	1	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas;Desulfuromonas michiganensis	0	0	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromusa;Unclassified Desulfuromusa	0	1	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Pelobacter;Pelobacter acetylenicus	0	0	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Pelobacter;Pelobacter carbinolicus	0	0	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Pelobacter;Unclassified Pelobacter	0	1	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Unclassified Desulfuromonadaceae;	0	1	3	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;Geobacter sp. FRC-32	0	1	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;Geobacter uraniireducens Rf4	0	1	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;Unclassified Geobacter	0	11	3	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Unclassified Geobacteraceae;	0	1	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Unclassified Desulfuromonadales;;	0	10	7	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae;Anaeromyxobacter;Unclassified Anaeromyxobacter	3	5	2	1
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae;Archangium;Unclassified Archangium	0	0	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae;Stigmatella;Unclassified Stigmatella	0	0	1	1
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae;Unclassified Cystobacteraceae;	1	0	0	1
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Haliangiaceae;Haliangium;Unclassified Haliangium	1	1	1	1
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;Myxococcus;Unclassified Myxococcus	0	1	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;Unclassified Myxococcaceae;	0	1	0	1
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Byssovorax;Sorangiineae bacterium SBNa008	1	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Byssovorax;Unclassified Byssovorax	1	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Sorangium;Sorangiineae bacterium 706	1	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Sorangium;Unclassified Sorangium	0	0	0	3
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Unclassified Polyangiaceae;	2	0	0	2
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Unclassified Myxococcales;;	1	3	3	5
Bacteria;Proteobacteria;Deltaproteobacteria;Order Incertae Sedis;Syntrophorhabdaceae;Syntrophorhabdus;Syntrophorhabdus aromaticivorans	0	1	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Order Incertae Sedis;Syntrophorhabdaceae;Syntrophorhabdus;Unclassified Syntrophorhabdus	0	1	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Order Incertae Sedis;Syntrophorhabdaceae;Unclassified Syntrophorhabdaceae;	0	0	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Desulfobacca;Desulfobacca acetoxidans DSM 11109	0	3	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Desulfobacca;Unclassified Desulfobacca	0	1	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Desulfomonile;Desulfomonile limimaris	0	1	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Desulfomonile;Unclassified Desulfomonile	1	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Smithella;Smithella propionica	0	0	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Smithella;Syntrophus sp.	0	2	2	0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Smithella;Unclassified Smithella	0	3	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Unclassified Syntrophaceae;	0	22	8	1
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfosoma;Unclassified Desulfosoma	0	1	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;Unclassified Syntrophobacter	0	1	2	0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Unclassified Syntrophobacteraceae;	0	1	4	0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Unclassified Syntrophobacterales;;	0	1	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Unclassified Deltaproteobacteria;;;	3	28	29	3
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Sulfuricurvum;Sulfuricurvum kujiense DSM 16994	0	0	2	0
Bacteria;Proteobacteria;Epsilonproteobacteria;Nautiliales;Nautiliaceae;Caminibacter;Caminibacter mediatlanticus TB-2	1	0	0	0
Bacteria;Proteobacteria;Epsilonproteobacteria;Nautiliales;Nautiliaceae;Caminibacter;Unclassified Caminibacter	0	0	1	0
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Unclassified Aeromonadaceae;	0	0	1	0
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Unclassified Aeromonadales;;	0	1	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Unclassified Alteromonadaceae;	0	0	1	0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus;Unclassified Nitrosococcus	0	0	0	1
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira;Unclassified Ectothiorhodospira	0	1	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio;Unclassified Thioalkalivibrio	1	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Unclassified Ectothiorhodospiraceae;	1	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Unclassified Chromatiales;;	0	1	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Aquicella;Proteinimicrobium ihbtica	0	0	0	1
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Unclassified Methylococcaceae;	0	1	1	0
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Unclassified Methylococcales;;	0	1	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Unclassified Moraxellaceae;	1	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Unclassified Pseudomonas	1	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Unclassified Pseudomonadales;;	0	1	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Unclassified Gammaproteobacteria;;;	17	3	3	9
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;Steroidobacter;Unclassified Steroidobacter	4	0	0	1
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;Unclassified Sinobacteraceae;	1	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Unclassified Xanthomonadales;;	0	0	0	1
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;Unclassified Xanthomonas	0	0	0	1
Bacteria;Proteobacteria;Unclassified Proteobacteria;;;;	12	12	11	3
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Brevinemataceae;Brevinema;Unclassified Brevinema	0	0	1	0
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Leptospiraceae;Leptospira;Unclassified Leptospira	0	1	0	0
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Spirochaeta;Spirochaeta sp.	0	1	2	0
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Spirochaeta;Unclassified Spirochaeta	0	9	3	0
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema;Unclassified Treponema	0	1	0	0
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Unclassified Spirochaetaceae;	0	1	1	1
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Unclassified Spirochaetales;;	0	0	1	0
