Taxa	Sample01	Sample02	Sample03	Sample04
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;TM214;actinobacterium;Unclassified actinobacterium	0	0	0	1
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;TM214;actinobacterium;actinobacterium BGR 88	2	0	0	2
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Unclassified Acidimicrobiales;;	12	1	1	16
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Unclassified Bifidobacterium	0	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Unclassified Bifidobacteriaceae;	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Actinospicaceae;Actinospica;Unclassified Actinospica	1	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Actinospicaceae;Actinospica;actinobacterium OB1	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Unclassified Mycobacterium	0	0	0	3
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Unclassified Mycobacteriaceae;	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia farcinica	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Unclassified Nocardia	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Unclassified Nocardiaceae;	1	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Unclassified Corynebacteriales;;	0	0	1	2
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;bacterium Ellin334	2	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Frankia;Kaistibacter ginsenosidimutans	0	0	2	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Frankia;Unclassified Frankia	1	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Unclassified Frankiales;;	1	1	1	1
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;Unclassified Kineococcus	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia;Kineosporia aurantiaca	0	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Unclassified Kineosporiaceae;	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Unclassified Cellulomonas	0	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Unclassified Cellulomonadaceae;	1	0	1	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera;Unclassified Tetrasphaera	0	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Unclassified Intrasporangiaceae;	0	1	2	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Unclassified Agromyces	0	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Clavibacter;Unclassified Clavibacter	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Leifsonia;Unclassified Leifsonia	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Unclassified Microbacterium	0	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Rathayibacter;Unclassified Rathayibacter	0	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Unclassified Microbacteriaceae;	0	2	4	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Unclassified Arthrobacter	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Unclassified Micrococcaceae;	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;Promicromonospora;Unclassified Promicromonospora	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Unclassified Micrococcales;;	0	4	8	1
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;Unclassified Actinoplanes	1	0	0	2
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora;Unclassified Micromonospora	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Unclassified Micromonosporaceae;	2	1	0	5
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Actinopolymorpha;Unclassified Actinopolymorpha	0	0	1	2
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;Unclassified Nocardioides	0	0	0	2
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Aestuariimicrobium;actinobacterium MH1-2	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Unclassified Propionibacteriaceae;	0	1	2	0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Unclassified Propionibacteriales;;	1	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Unclassified Pseudonocardiaceae;	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;Unclassified Streptomyces	2	2	3	0
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Unclassified Streptomycetaceae;	1	0	2	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Streptosporangium;Streptosporangium roseum	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Streptosporangium;Unclassified Streptosporangium	2	0	0	2
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Unclassified Streptosporangiaceae;	1	0	0	2
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinoallomurus;Actinoallomurus sp. PENDO-1807	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinoallomurus;Unclassified Actinoallomurus	2	0	0	4
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinocorallia;Unclassified Actinocorallia	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura;Unclassified Actinomadura	0	2	0	1
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Unclassified Thermomonosporaceae;	1	0	1	4
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Unclassified Streptosporangiales;;	2	0	1	7
Bacteria;Actinobacteria;Actinobacteria;Unclassified Actinobacteria;;;	21	10	21	39
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Coriobacterium;Unclassified Coriobacterium	0	1	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Eggerthella;Unclassified Eggerthella	0	1	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Unclassified Coriobacteriaceae;	1	7	5	0
Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella;Gaiella occulta	0	3	2	0
Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella;Unclassified Gaiella	1	7	1	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;Conexibacter woesei DSM 14684	1	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;Unclassified Conexibacter	1	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Patulibacteraceae;Patulibacter;Patulibacter sp. I11	0	0	0	1
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Patulibacteraceae;Patulibacter;Rubrobacterales bacterium Pa33	1	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Patulibacteraceae;Patulibacter;Unclassified Patulibacter	0	1	1	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;Solirubrobacter sp. Gsoil 921	1	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Unclassified Solirubrobacterales;;	36	7	13	16
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;YNPFFP1;bacterium Ellin5025;Unclassified bacterium Ellin5025	1	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Unclassified Thermoleophilia;;;	5	3	9	1
Bacteria;Actinobacteria;Unclassified Actinobacteria;;;;	11	23	28	15
